base_state,outs,balls,strikes,event_type,ERV
101,1,0,0,Ball,-0.24320827943078913
101,1,0,0,CalledStrike,-0.259825327510917
101,1,0,1,Ball,-0.24936386768447838
101,1,0,1,CalledStrike,-0.21518987341772153
101,1,0,2,Ball,-0.2198952879581152
101,1,0,2,CalledStrike,0.0
101,1,1,0,Ball,-0.2260536398467433
101,1,1,0,CalledStrike,-0.23770491803278687
101,1,1,1,Ball,-0.30612244897959184
101,1,1,1,CalledStrike,-0.2962962962962963
101,1,1,2,Ball,-0.41228070175438597
101,1,1,2,CalledStrike,-0.04
101,1,2,0,Ball,-0.14285714285714285
101,1,2,0,CalledStrike,-0.30434782608695654
101,1,2,1,Ball,-0.22727272727272727
101,1,2,1,CalledStrike,-0.4074074074074074
101,1,2,2,Ball,-0.3708609271523179
101,1,2,2,CalledStrike,-0.05
101,1,3,0,Ball,-0.35
101,1,3,0,CalledStrike,-0.23529411764705882
101,1,3,1,Ball,-0.1111111111111111
101,1,3,1,CalledStrike,-0.5
101,1,3,2,Ball,-0.1694915254237288
101,1,3,2,CalledStrike,-0.08333333333333333
110,1,0,0,Ball,-0.13255684969495285
110,1,0,0,CalledStrike,-0.13066871637202152
110,1,0,1,Ball,-0.13709677419354838
110,1,0,1,CalledStrike,-0.14285714285714285
110,1,0,2,Ball,-0.11764705882352941
110,1,0,2,CalledStrike,-0.14285714285714285
110,1,1,0,Ball,-0.15245901639344261
110,1,1,0,CalledStrike,-0.16666666666666666
110,1,1,1,Ball,-0.133086876155268
110,1,1,1,CalledStrike,-0.1377551020408163
110,1,1,2,Ball,-0.17281879194630873
110,1,1,2,CalledStrike,-0.1076923076923077
110,1,2,0,Ball,-0.021739130434782608
110,1,2,0,CalledStrike,-0.2848101265822785
110,1,2,1,Ball,-0.1910569105691057
110,1,2,1,CalledStrike,-0.07547169811320754
110,1,2,2,Ball,-0.20603015075376885
110,1,2,2,CalledStrike,-0.046875
110,1,3,0,Ball,-0.13846153846153847
110,1,3,0,CalledStrike,-0.16842105263157894
110,1,3,1,Ball,-0.14285714285714285
110,1,3,1,CalledStrike,-0.07692307692307693
110,1,3,2,Ball,-0.27807486631016043
110,1,3,2,CalledStrike,-0.06666666666666667
111,1,0,0,Ball,-0.375609756097561
111,1,0,0,CalledStrike,-0.3156498673740053
111,1,0,1,Ball,-0.3595890410958904
111,1,0,1,CalledStrike,-0.2972972972972973
111,1,0,2,Ball,-0.3352941176470588
111,1,0,2,CalledStrike,0.0
111,1,1,0,Ball,-0.33507853403141363
111,1,1,0,CalledStrike,-0.3838383838383838
111,1,1,1,Ball,-0.4427083333333333
111,1,1,1,CalledStrike,-0.5555555555555556
111,1,1,2,Ball,-0.49214659685863876
111,1,1,2,CalledStrike,-0.3
111,1,2,0,Ball,-0.14285714285714285
111,1,2,0,CalledStrike,-0.3111111111111111
111,1,2,1,Ball,-0.6951219512195121
111,1,2,1,CalledStrike,-0.43243243243243246
111,1,2,2,Ball,-0.425
111,1,2,2,CalledStrike,-0.125
111,1,3,0,Ball,-1.0714285714285714
111,1,3,0,CalledStrike,-0.5416666666666666
111,1,3,1,Ball,-1.0909090909090908
111,1,3,1,CalledStrike,-0.4
111,1,3,2,Ball,-1.1636363636363636
111,1,3,2,CalledStrike,0.0
000,2,0,0,Ball,-0.012285511219413138
000,2,0,0,CalledStrike,-0.00982680260410269
000,2,0,1,Ball,-0.014681286006318527
000,2,0,1,CalledStrike,-0.003875968992248062
000,2,0,2,Ball,-0.01019219569015725
000,2,0,2,CalledStrike,0.0
000,2,1,0,Ball,-0.019024970273483946
000,2,1,0,CalledStrike,-0.015066724063710719
000,2,1,1,Ball,-0.020128599384959464
000,2,1,1,CalledStrike,-0.010027347310847767
000,2,1,2,Ball,-0.01125748502994012
000,2,1,2,CalledStrike,0.0
000,2,2,0,Ball,-0.01089108910891089
000,2,2,0,CalledStrike,-0.022508038585209004
000,2,2,1,Ball,-0.025259067357512953
000,2,2,1,CalledStrike,-0.01808066759388039
000,2,2,2,Ball,-0.030164854437039635
000,2,2,2,CalledStrike,0.0
000,2,3,0,Ball,-0.03374233128834356
000,2,3,0,CalledStrike,-0.022071307300509338
000,2,3,1,Ball,-0.032148900169204735
000,2,3,1,CalledStrike,-0.02696078431372549
000,2,3,2,Ball,-0.030303030303030304
000,2,3,2,CalledStrike,0.0
001,2,0,0,Ball,-0.10086767895878525
001,2,0,0,CalledStrike,-0.06435643564356436
001,2,0,1,Ball,-0.10515873015873016
001,2,0,1,CalledStrike,-0.009259259259259259
001,2,0,2,Ball,-0.12359550561797752
001,2,0,2,CalledStrike,0.0
001,2,1,0,Ball,-0.1095890410958904
001,2,1,0,CalledStrike,-0.12834224598930483
001,2,1,1,Ball,-0.12535612535612536
001,2,1,1,CalledStrike,-0.09900990099009901
001,2,1,2,Ball,-0.10761154855643044
001,2,1,2,CalledStrike,0.0
