batter,n_swings,launch_speed_mean,launch_speed_std,launch_speed_median,launch_speed_p95,pct_hard_hit,launch_angle_mean,launch_angle_std,bat_speed_mean,bat_speed_std,swing_length_mean,attack_angle_mean,swing_path_tilt_mean,intercept_ball_minus_batter_pos_x_inches_mean,intercept_ball_minus_batter_pos_y_inches_mean,attack_direction_mean,cluster
605141,558,88.92777777777778,11.98006418853007,91.6,103.415,0.35663082437275984,17.827956989247312,26.283343664132776,68.99823529411765,5.254641210119101,6.940980392156863,8.568454931353727,34.33201521508871,37.615621700098295,32.67556010337996,355.9320904265643,1
605170,294,88.78496503496504,14.552195873324939,92.65,106.2,0.3979591836734694,12.445993031358885,28.073511947187914,71.73321428571428,4.541541078323901,6.795357142857143,8.753316106302231,34.09161971347334,35.13598164834728,35.53383260904771,0.8712062702648312,1
605204,15,86.47999999999999,11.342329762638911,80.19999999999999,102.765,0.2,-5.2,32.50572599131147,70.5125,4.25422059338051,7.2625,10.357347740842084,34.62039629688214,38.50372389733543,26.71989707521961,9.425490037352317,3
605353,21,90.16153846153846,13.243648695477793,93.3,106.58,0.2857142857142857,9.076923076923077,24.12972419534856,69.62222222222222,5.289796257366105,7.211111111111112,9.806309901834872,24.277500971848195,42.86318259354896,30.93009062744674,1.746277313350404,0
605361,93,85.92359550561798,15.391231435699103,89.0,104.38,0.3010752688172043,14.224719101123595,31.702363264714613,70.47058823529412,3.482706375432617,6.743529411764706,6.571627680188365,30.511671131971188,36.62492594158444,26.843466902463092,359.3094186064318,4
605612,17,93.37058823529412,10.421538076615796,96.9,100.46,0.5294117647058824,13.882352941176471,26.909297540397578,67.73333333333333,3.0287511177601525,6.366666666666667,9.799597472434447,29.231737281211778,40.21757344820049,31.05030892528704,2.148663487775803,1
606115,174,87.10891719745223,15.123997639157901,89.4,105.72,0.3103448275862069,7.2165605095541405,33.87161251325243,70.44137931034483,7.034207945293095,7.7427586206896555,6.289318970264797,27.09792283862948,37.09480836993261,29.04576323680322,0.8393906638455584,4
606192,409,90.29217603911981,14.78457520951471,93.1,108.86,0.4718826405867971,9.89486552567237,29.10538994022515,72.70866141732283,4.940861159044528,7.720209973753281,9.430348072996237,31.452863116634298,38.18566776512918,29.96662371211247,1.8322524293031603,0
606466,417,90.61070559610705,16.191091565619832,93.7,110.85,0.4628297362110312,14.572815533980583,29.61417821209239,73.55979899497487,6.8896623878414625,7.635427135678392,8.225141922128378,31.48949347799221,32.57429674018208,34.32726974954608,358.02428362671253,0
606992,48,81.69268292682926,17.782862399567488,83.6,107.4,0.1875,5.146341463414634,32.96404175431902,68.28205128205128,10.998011107154346,6.889743589743589,10.071237005534378,31.69490137256627,38.573031937738065,29.32827615097155,1.4960789034611235,2
607043,476,91.82808510638297,13.862782411818788,95.3,107.955,0.5021008403361344,11.52127659574468,28.785779154340766,72.47074340527578,5.736280260313842,7.186330935251799,6.262970350594757,29.346130407197528,39.54286868363293,27.303750510534766,2.5669869830071343,0
607208,511,89.1462598425197,13.950230137702862,92.1,106.22999999999999,0.41487279843444225,8.992125984251969,27.23301339817975,70.88318584070797,5.734385375716131,7.419911504424779,6.272983640600516,28.14743818526246,37.25768843719808,27.972464010591416,359.81492208989926,4
607680,48,87.75744680851065,11.416782929964786,91.2,101.49,0.3125,15.425531914893616,26.117414381022602,68.7081081081081,5.0160508137144895,7.367567567567568,8.084265281592895,31.85190723953458,38.22314702249326,31.039890302563165,359.2415742052356,3
